produces/consumers,AIC0-CD,AIC1-CD,AIC2-CD,AIC3-CD,AIC4-CD,AIC5-CD,AIC6-CD,AIC7-CD,AIC0-DMA-C0,AIC0-DMA-C1,AIC1-DMA-C0,AIC1-DMA-C1,AIC2-DMA-C0,AIC2-DMA-C1,AIC3-DMA-C0,AIC3-DMA-C1,AIC4-DMA-C0,AIC4-DMA-C1,AIC5-DMA-C0,AIC5-DMA-C1,AIC6-DMA-C0,AIC6-DMA-C1,AIC7-DMA-C0,AIC7-DMA-C1,SDMA0-C0,SDMA0-C1,SDMA0-C2,SDMA0-C3,SDMA1-C0,SDMA1-C1,SDMA1-C2,SDMA1-C3,APU-SW_endpoint
AIC0-CD,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC1-CD,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC2-CD,x,x,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC3-CD,x,x,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC4-CD,x,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC5-CD,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC6-CD,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,
AIC7-CD,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
AIC0-DMA-C0,,,,,,,,,,(x),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC0-DMA-C1,,,,,,,,,(x),,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC1-DMA-C0,,,,,,,,,x,x,,(x),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC1-DMA-C1,,,,,,,,,x,x,(x),,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC2-DMA-C0,,,,,,,,,x,x,x,x,,(x),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC2-DMA-C1,,,,,,,,,x,x,x,x,(x),,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC3-DMA-C0,,,,,,,,,x,x,x,x,x,x,,(x),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC3-DMA-C1,,,,,,,,,x,x,x,x,x,x,(x),,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC4-DMA-C0,,,,,,,,,x,x,x,x,x,x,x,x,,(x),x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC4-DMA-C1,,,,,,,,,x,x,x,x,x,x,x,x,(x),,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC5-DMA-C0,,,,,,,,,x,x,x,x,x,x,x,x,x,x,,(x),x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC5-DMA-C1,,,,,,,,,x,x,x,x,x,x,x,x,x,x,(x),,x,x,x,x,x,x,x,x,x,x,x,x,(x)
AIC6-DMA-C0,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,(x),x,x,x,x,x,x,x,x,x,x,(x)
AIC6-DMA-C1,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,(x),,x,x,x,x,x,x,x,x,x,x,(x)
AIC7-DMA-C0,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,(x),x,x,x,x,x,x,x,x,(x)
AIC7-DMA-C1,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,(x),,x,x,x,x,x,x,x,x,(x)
SDMA0-C0,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x
SDMA0-C1,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
SDMA0-C2,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x
SDMA0-C3,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x
SDMA1-C0,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
SDMA1-C1,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x
SDMA1-C2,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x
SDMA1-C3,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x
APU-SW_endpoint,,,,,,,,,(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),(x),x,x,x,x,x,x,x,x,
